row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
4988,341265389153812000,2018-10-24 19:56:29.888 UTC,House Cleaning,289801788121841000,44,4.86,2018-10-23 23:59:21.644 UTC,65.0,2,True,341265607872028000,False
18117,340592580187463000,2018-10-17 01:03:00.926 UTC,House Cleaning,289801788121841000,44,4.86,2018-10-16 21:22:49.538 UTC,65.0,1,True,340592698135380000,False
20696,342732532649869000,2018-11-10 19:28:53.347 UTC,House Cleaning,288345890142150000,44,4.3,2018-11-10 18:32:36.131 UTC,119.0,3,True,342732621774020000,False
225,342371384514297000,2018-11-06 15:09:45.186 UTC,House Cleaning,295548268890333000,44,4.39,2018-11-06 03:45:59.945 UTC,80.0,1,True,342371710951088000,False
24288,341003026180137000,2018-10-21 19:03:46.733 UTC,House Cleaning,295548268890333000,44,4.39,2018-10-20 19:46:54.221 UTC,80.0,1,True,341003280275669000,False
25915,343664550096068000,2018-11-21 14:22:31.09 UTC,Local Moving (under 50 miles),319248154270670000,44,4.77,2018-11-19 22:15:45.335 UTC,130.0,5,True,343664707451731000,False
22330,341086597943197000,2018-10-22 18:16:38.519 UTC,House Cleaning,262625926155297000,44,4.86,2018-10-17 10:07:56.932 UTC,80.0,1,True,341087455147311000,False
16235,343319188540751000,2018-11-17 14:26:29.178 UTC,House Cleaning,303004965367062000,44,4.95,2018-11-16 20:04:55.351 UTC,95.0,1,True,343513843832684000,False
20563,344149814610681000,2018-11-27 05:10:15.684 UTC,House Cleaning,303004965367062000,44,4.95,2018-11-26 18:41:25.149 UTC,95.0,1,True,344149950409736000,True
11081,342710341624823000,2018-11-10 13:19:02.469 UTC,House Cleaning,295402030765785000,44,4.77,2018-11-09 21:06:34.87 UTC,200.0,8,True,342711189600706000,False
138,344026261700452000,2018-11-25 18:51:02.426 UTC,Local Moving (under 50 miles),300670127393513000,44,4.91,2018-11-24 21:11:47.617 UTC,89.0,3,True,344026317750837000,False
9414,343587214384390000,2018-11-20 16:53:35.057 UTC,Local Moving (under 50 miles),330180457885966000,44,4.93,2018-11-19 18:18:05.464 UTC,80.0,1,True,343587567893217000,True
7279,342884649368420000,2018-11-12 13:44:10.186 UTC,House Cleaning,316719145520972000,44,4.77,2018-11-05 22:56:48.599 UTC,80.0,1,True,342884825808379000,False
3689,340658634366148000,2018-10-17 19:23:54.998 UTC,House Cleaning,240849860792869000,45,4.73,2018-10-16 16:47:44.052 UTC,155.0,2,True,340658921975226000,False
20339,344275974578438000,2018-11-28 16:12:55.273 UTC,Local Moving (under 50 miles),298151172198318000,45,4.53,2018-11-27 22:29:40.665 UTC,89.0,3,True,344276105688391000,False
2717,343448040411160000,2018-11-19 02:14:01.095 UTC,House Cleaning,237309040181838000,45,4.89,2018-11-17 21:49:55.518 UTC,150.0,3,True,343448218417504000,False
14065,343510540597403000,2018-11-19 19:35:41.148 UTC,House Cleaning,314891470596358000,45,4.78,2018-11-19 19:03:57.343 UTC,125.0,2,True,343510812429885000,True
2502,343082928608895000,2018-11-14 20:48:49.146 UTC,Local Moving (under 50 miles),304123340312182000,45,4.62,2018-11-14 18:15:27.497 UTC,79.0,2,True,343083075651043000,False
5919,343194243420110000,2018-11-16 03:44:03.997 UTC,Local Moving (under 50 miles),304123340312182000,45,4.62,2018-11-16 03:39:03.612 UTC,79.0,1,True,343194483187679000,False
15406,344127617048395000,2018-11-26 23:00:17.83 UTC,Local Moving (under 50 miles),330180457885966000,45,4.84,2018-11-26 20:29:12.084 UTC,80.0,2,True,344127799670915000,False
14261,343277153447100000,2018-11-17 02:45:54.125 UTC,House Cleaning,209937921052886000,45,4.91,2018-11-16 19:07:07.814 UTC,75.0,3,True,343277257547587000,False
21821,341261429906178000,2018-10-24 18:50:30.478 UTC,Local Moving (under 50 miles),187552429794190000,301,4.54,2018-10-24 16:10:32.138 UTC,89.0,2,True,341261610050306000,False
19127,340742927868879000,2018-10-18 18:48:48.618 UTC,House Cleaning,108962562261189000,46,4.74,2018-10-18 16:11:27.078 UTC,113.0,5,True,340743100592324000,False
1444,340555384925290000,2018-10-16 14:43:05.843 UTC,Local Moving (under 50 miles),235336004041991000,46,4.52,2018-10-16 14:18:01.155 UTC,120.0,2,True,340555540002349000,False
8970,342153933159211000,2018-11-04 02:45:34.177 UTC,House Cleaning,280427372628239000,46,4.76,2018-11-03 23:03:01.434 UTC,100.0,2,True,342154613627035000,False
20818,342760244704329000,2018-11-11 03:10:45.204 UTC,House Cleaning,231220612038894000,46,4.76,2018-11-10 16:23:24.151 UTC,120.0,1,True,342760527314976000,False
